TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,60,0, KEY ,1,60,5936055,48.920206,49.955551,51.053917,50.848408,34.621190,97.033285,96.410209,54.498448,48.110518,0.000000
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,85,0, KEY ,1,85,3902183,42.884172,45.988766,48.345604,44.931311,28.449375,96.268498,95.329879,49.780080,43.431179,0.000019
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,110,0, KEY ,1,110,2119862,36.786039,42.732005,45.797351,38.675476,22.136839,94.123755,92.796880,43.166067,38.783395,0.000603
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,135,0, KEY ,1,135,948306,32.164108,40.041828,43.512348,32.431731,17.573074,88.370367,86.505995,36.394544,34.955597,0.002699
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,160,0, KEY ,1,160,440484,28.743664,37.502916,41.313223,26.330099,14.235251,73.878190,71.845986,30.214034,31.928658,0.006080
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,185,0, KEY ,1,185,193119,25.308965,34.917368,39.088110,20.247811,10.624513,49.207497,47.499336,24.354633,28.789186,0.025200
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,60,0, KEY ,1,60,4119730,48.867461,50.765170,51.094669,46.303273,31.466122,96.660181,95.924727,52.790527,48.246191,0.000008
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,85,0, KEY ,1,85,2279722,42.931971,48.321254,48.671457,40.684737,25.287606,95.269048,94.274723,47.823145,44.182502,0.002541
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,110,0, KEY ,1,110,961414,37.827289,46.144890,46.664317,34.469307,19.676771,92.180870,90.627322,41.453622,40.507077,0.240312
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,135,0, KEY ,1,135,351597,34.270775,44.075705,44.776488,28.459950,15.266871,84.091563,82.036100,35.065942,37.637059,1.040650
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,160,0, KEY ,1,160,149818,31.777933,42.237999,42.718907,23.244620,12.253078,66.503323,64.792980,30.170339,35.347015,1.603309
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,185,0, KEY ,1,185,66397,29.147091,40.151003,40.232307,18.110447,9.619481,41.240587,40.045614,25.991533,32.822815,1.557345
