TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,60,0, KEY ,1,60,5819426,48.892511,49.715756,51.022605,50.544582,34.543531,97.007564,96.383545,54.414375,48.009214,0.000000
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,85,0, KEY ,1,85,3816944,42.863417,45.946269,48.404571,44.719035,28.450014,96.201383,95.261405,49.746069,43.437487,0.000015
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,110,0, KEY ,1,110,2074729,36.837790,42.820743,46.012339,38.499715,22.236088,94.196852,92.767811,43.239966,38.865026,0.000548
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,135,0, KEY ,1,135,927650,32.209004,40.264691,43.771832,32.268968,17.612487,88.491381,86.429316,36.404208,35.046671,0.001569
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,160,0, KEY ,1,160,431377,28.789066,37.767007,41.599142,26.142727,14.270074,73.566598,71.532504,30.261032,32.022497,0.007563
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,185,0, KEY ,1,185,190906,25.395122,35.202051,39.454843,20.145298,10.701188,49.467693,47.699181,24.455503,28.910117,0.020632
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,60,0, KEY ,1,60,4025635,48.842893,50.714674,51.076781,46.025059,31.433027,96.615368,95.875887,52.745889,48.208952,0.000009
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,85,0, KEY ,1,85,2236745,42.969206,48.436123,48.809145,40.639513,25.382426,95.222622,94.215650,47.876482,44.247653,0.002873
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,110,0, KEY ,1,110,952322,37.903793,46.362489,46.884383,34.477283,19.797181,92.211681,90.582430,41.557667,40.602178,0.213457
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,135,0, KEY ,1,135,349087,34.334500,44.339797,44.988282,28.567493,15.353704,84.153023,82.059673,35.167405,37.726720,1.008926
