tag,cfg,psnr_y,psnr_u,psnr_v,overall_psnr,ssim_y,ms_ssim_y,vmaf,vmaf_neg,psnr_hvs,ciede2k,apsnr_y,apsnr_u,apsnr_v,overall_apsnr
libaom-v3.12.0-constrained,AI,2.2381593406593403,1.2390197802197802,0.933632967032967,2.1838549450549447,1.6969780219780222,1.5329813186813188,-0.6764076923076924,-0.5959604395604395,2.7832043956043955,2.8522802197802197,2.2489527472527473,1.2453714285714286,0.917802197802198,2.1539846153846156
libaom-v3.12.0-constrained,AS,1.4719375,-5.4360125,-5.728149999999999,0.5718375,-3.9761,-1.3154875,7.9918625,7.07675,-0.1307625,-3.2170625,1.597725,-5.620475,-5.9378625,1.01655
libaom-v3.12.0-constrained,LD,13.39560357142857,9.48289107142857,9.74275892857143,12.948919642857144,11.262407142857143,10.842989285714285,18.445496428571428,17.78815535714286,13.736105357142858,14.264907142857142,17.250569642857144,10.327837500000001,10.350082142857143,16.763880357142856
libaom-v3.12.0-constrained,RA,2.2346483516483517,-0.07190329670329682,-0.2825395604395604,1.9660043956043955,1.227185714285714,1.0951241758241759,1.6662791208791208,1.2119604395604398,1.9240153846153845,2.493128571428571,2.115968131868132,-0.06575274725274746,-0.41801648351648363,1.9905296703296702
libaom-v3.12.0-constrained,Still,0.17668245614035089,-0.717319298245614,-0.9083192982456141,0.14879298245614037,-0.45334736842105267,-0.2766964912280702,-0.7927140350877193,-0.5296982456140351,-0.2774157894736842,0.04673684210526316,0.17668245614035089,-0.717319298245614,-0.9083192982456141,0.15139298245614036
libaom-v3.12.0-unconstrained,AI,2.401987912087912,0.114121978021978,-0.3520241758241759,2.1715923076923076,2.1875846153846155,2.0545516483516484,2.2255505494505496,2.1331120879120875,2.4587461538461537,1.8504615384615384,2.3851747252747253,0.12715934065934073,-0.33179010989010993,2.1519824175824174
libaom-v3.12.0-unconstrained,AS,-8.332825,-7.12895,-8.037375,-8.3608125,-8.75195,-8.9512875,-3.32545,-3.8625625,-8.5805375,-10.0751,-8.9726375,-7.7478375,-8.5545375,-9.0533625
libaom-v3.12.0-unconstrained,LD,6.610326785714285,4.692492857142858,4.858335714285714,6.356719642857143,6.1136767857142855,6.184282142857143,7.7871875,7.42515,7.833908928571428,6.0027839285714295,7.209221428571429,5.275892857142857,5.414623214285714,7.149073214285714
libaom-v3.12.0-unconstrained,RA,-6.6355,0.28974945054945056,0.5015109890109889,-6.115664835164835,-7.144972527472527,-7.376062637362637,-11.160393406593407,-11.30903186813187,-6.692282417582418,-4.9122604395604395,-8.282171428571429,-0.42389890109890116,-0.1528989010989011,-7.815883516483517
libaom-v3.12.0-unconstrained,Still,0.7900052631578947,-1.3799912280701754,-1.7025368421052631,0.4836701754385965,-0.1587701754385965,0.2861035087719298,1.2838754385964914,1.1566964912280704,0.4771105263157895,-0.20868771929824562,0.7900052631578947,-1.3799912280701754,-1.7025368421052631,0.5222122807017544
