TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,10052.929225,42.039143,44.800716,44.523613,26.857546,23.275171,96.925763,94.947534,45.581794,40.599287,41.826655,44.749508,44.466812,0.000003,20093.58,8.75,123749531321547,39362295067,52885152953792,23769679419,77ef7770e7b4191876b37f3060448215,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,3656.044878,39.538465,43.398168,43.483228,23.505627,20.369732,92.820459,90.579007,41.241111,38.831033,39.256671,43.362384,43.449244,0.000007,15315.93,5.38,120192025029817,30471526183,52667579341091,19303263668,7ebbc6be12a58d3f20cb7e4dc90291d2,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1329.112733,36.583268,41.690516,42.174712,19.347197,16.816029,84.127610,81.799591,36.324054,36.640855,36.278631,41.657971,42.145292,0.001212,12399.87,5.05,79367085586833,26352264854,32709901501145,14043868835,d53c1a1fce041579207b42cdbb71349e,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,465.776685,33.612184,39.908821,40.701889,14.957143,13.262098,69.033528,66.500790,31.659892,34.326339,33.367550,39.879586,40.676569,0.002482,7537.58,3.28,49665895923601,24219256702,19948335634527,9394437833,d614b896fe07c6d370addba59eb9cd98,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,174.261431,30.753733,38.254428,39.235455,10.737801,9.981145,45.421534,43.689776,27.608287,32.039299,30.609714,38.234660,39.219137,0.002411,3730.58,2.17,31309742260728,18052544339,12957686629589,8138545736,81dcceef4c97a7c8c155c1e62d6328a9,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,71.673557,28.080010,36.369223,37.358153,7.210194,7.209329,22.299178,21.558091,24.253697,29.752099,28.010960,36.357741,37.349815,0.010424,2797.78,1.69,18854550565373,10410563992,7470500507176,4845047468,8f56f0de19d5c4947e38e232014cff20,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,26654.783985,41.686408,44.414842,46.366738,31.073949,27.325962,99.975677,99.750898,48.038367,42.009598,41.552392,44.348189,46.314875,0.115455,24666.82,13.22,144940468544437,58624992008,64990859609201,35541768397,e32caaa07b72314e861f55e5c6e998ee,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,12361.089987,37.736561,42.329396,44.096514,26.356046,23.208707,97.139365,95.333653,41.388455,39.243839,37.608303,42.290720,44.070478,0.157557,27360.89,10.24,164775587401536,45612094396,71939867991341,27778441701,01350bb2a6b0b3de5ce685c18842ae94,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,5511.198955,33.633645,40.338240,41.827555,21.307556,18.716513,87.339520,85.361040,34.579737,36.181441,33.502068,40.308537,41.813714,0.175902,23153.29,7.79,142303022011950,33806768409,60759760858609,21394610134,a61eea4f6623bb6297ca24a28cb0811f,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,2271.636056,29.744203,38.266795,39.386243,16.295818,14.321248,69.933942,68.068488,28.606860,33.017932,29.614552,38.231793,39.371878,0.169413,13886.20,4.98,107356393088094,24854328469,47681013172139,18127035299,e52eee58416ff13efc49df819d8b372f,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,812.551141,26.269362,36.157195,36.957927,11.650792,10.343680,46.774651,45.208915,23.707339,29.946268,26.156807,36.126850,36.949819,0.218770,10892.53,3.40,70558265720554,16060665166,28575151825920,9526923132,de0750f813066f0b02567afeea0f442d,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,254.854069,23.480898,33.809346,34.206709,7.927110,7.228989,23.212213,22.377668,20.037854,27.173753,23.412187,33.801880,34.200707,0.198588,6460.97,2.20,42012099057103,11078465427,17013842896111,6122779248,dd8a3c962b33237b480307e3a3fe136c,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,110,61792.489231,38.670245,40.198123,40.945583,25.362625,21.331085,99.977008,99.952737,43.582598,37.293757,38.456469,40.075183,40.841525,0.000132,58988.29,23.68,344178209376659,111886850684,155523834302628,63493672753,b60f4ccdae8b450796248f90e844459a,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,135,25593.800000,35.018525,37.835590,38.500439,22.146983,18.564351,96.491326,94.561983,38.390517,34.814520,34.878374,37.767190,38.432598,0.000189,56324.20,17.72,329600303673333,82464408327,148649918485427,48170834022,a5336afcf1b33eced0639af89fc6185a,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,160,10510.489231,31.360102,35.734992,36.203772,18.242994,15.365773,83.657721,81.490810,32.453485,32.364775,31.237671,35.688332,36.152967,0.000343,42266.70,13.34,250180414236443,61510720182,111112478764771,36652898890,8017320194a72c79222f5767245a311b,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,185,4076.529231,27.931911,33.811902,34.069856,13.928737,11.918981,61.863765,59.923134,26.967136,29.901909,27.822176,33.775606,34.030220,0.001109,28749.06,8.82,176156155743377,44992978546,75200704476527,24371171427,c8b11836232636572b95b47f995748b3,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,210,1355.840000,24.789611,32.044735,32.165399,9.654541,8.580890,34.737836,33.615660,22.309037,27.414355,24.702130,32.019732,32.137502,0.003087,17492.30,5.47,109899758081473,27747197250,45900739472410,15354080194,0a46c441ded615ee897f016dc54634b7,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,235,384.353846,22.233883,30.540117,30.615043,6.328238,5.969588,12.825835,12.485664,18.883637,25.138839,22.176660,30.531003,30.602245,0.052561,8992.73,2.94,58987895445808,15959002752,23745870653108,8304182050,270e46a659322605d4ec2139aa6ecab9,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,110,14019.277338,38.986370,41.942296,46.581377,20.391789,16.907598,89.887251,88.664013,40.610654,38.925115,38.777937,41.838141,46.523758,0.719352,90186.65,14.43,550798460692165,75978924343,235162315452647,39353231856,d745fc3eb664bde759e7df42bcf33a33,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,135,1538.244525,37.649011,40.373763,45.991299,17.398232,14.805002,83.647615,82.046184,37.652486,37.684938,37.615054,40.342405,45.981990,2.677845,29038.40,4.56,230008147310557,29709229029,99199318828872,16753319733,d27c490a04784a59264e1eb4b2e0b466,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,160,164.267117,37.259705,40.046403,45.650597,16.530668,14.309077,77.960795,76.068011,36.729742,37.366434,37.256755,40.042538,45.648249,2.461344,13199.78,3.35,85473489079297,18291705663,34662243635958,9496929650,d5de9edebdbb9e13f3cfd45e14a7f08a,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,185,56.780758,36.684085,39.848901,45.095677,15.422101,13.724008,68.862272,66.540512,35.485633,37.017701,36.679309,39.847112,45.093739,1.863065,4952.83,2.16,33340143532659,10728842896,13128575521828,6034162639,ca98c2fd722919c8e3285d9a141fa9bd,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,210,29.068163,35.545235,39.366855,44.048461,13.688039,12.699547,54.139699,51.575769,33.457807,36.370398,35.526610,39.363401,44.042319,2.153681,2540.25,1.69,17486877660696,8804691095,6837148416205,4899910820,96ac950aade5dad2f5809e8a73c2d761,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,235,16.434642,33.714686,38.501200,42.605610,11.607230,11.244230,33.249871,31.343507,30.853935,35.101839,33.670352,38.493538,42.595800,2.447985,1534.19,1.49,10667066582767,8307982879,4220126923972,4398648819,67a9b2fde2fcdc2c515b20a332a0d499,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,21003.664643,39.915289,44.237379,45.255307,22.417182,19.077860,99.611075,98.404669,42.051059,39.954919,39.762956,44.175159,45.216208,0.079743,45559.84,13.29,272068304086493,64814956277,119274806636264,36402303834,5c4bef86d5515515cdcc49467de8cfb7,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,5324.654423,37.966061,43.062741,44.272735,19.069065,16.710361,94.292137,92.095842,38.239775,38.557517,37.905127,43.040012,44.258832,0.087489,29497.76,8.01,177928680504083,43874191256,77107207380644,22285013469,7a21b5aeb7ff3972053d0df1ba91c6c8,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1805.121648,35.964324,41.718146,42.921722,15.817160,14.367893,83.890960,81.347274,34.590407,37.077938,35.900374,41.692688,42.901539,0.134646,16610.83,5.63,103980396238101,33965953605,43591166605107,15782135401,a3779c84266fd24e38fef9fea9e8cb24,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,689.911934,33.558054,40.171745,41.355479,12.222358,11.627754,66.010466,63.759708,30.833181,35.285140,33.490310,40.131426,41.324890,0.167291,9549.37,3.85,61888681436903,26742199026,25087121699161,10732874054,cc04f3b44d984689c806a9111fec5f14,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,259.092292,31.090338,38.616657,39.608510,9.107199,9.105229,46.122272,44.472119,27.554335,33.372121,31.032446,38.567125,39.570851,0.278355,5742.05,2.63,37567358513306,16197956329,15145556716642,7365600509,5e203444c54b67727856994a61260041,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,98.902943,28.781650,36.775632,37.683523,6.869949,7.131177,29.827180,28.942510,24.883112,31.338008,28.730193,36.732228,37.648273,0.472435,3232.63,1.99,21656460889178,10712647292,8615476231133,5435483606,1b6548fdacae9c9484f9713f97216353,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,110,28777.633846,40.348007,46.813670,46.554493,25.724301,22.060991,99.974838,99.969163,43.711204,41.805275,40.118225,46.542016,46.329158,0.065525,42285.21,20.29,236582464523001,103758644724,111559775303347,55218196368,df92b01d08980b92561599fa5bad0703,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,135,11755.035692,36.582091,43.810132,43.511112,20.880486,18.198492,99.965350,99.934418,37.717904,38.593201,36.375585,43.504550,43.273801,0.058317,38878.80,14.32,221075375832592,78489767666,102273693388989,39405869845,72959b9b34fc6a4e6a724a201d5acb79,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,160,4730.772923,33.197677,40.896888,40.701349,16.370177,14.572458,93.994207,91.842223,32.386442,35.612031,33.008039,40.576996,40.461553,0.063281,28231.85,10.80,164644804841619,62023428320,74027825319219,30038817502,4de9fc79f54471d9ee4e2af1808deb7d,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,185,1766.244923,30.037201,38.141523,38.220417,12.138496,11.118989,72.641441,70.452851,27.745108,32.754963,29.854560,37.800800,37.995476,0.055570,19000.77,8.26,114783807534561,47767996298,49800667703023,23152015160,aad7cc7e48d40f240032832668e2e269,
