TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,60,0, KEY ,1,60,5914213,48.904361,49.877310,51.003352,50.817051,34.586204,97.021045,96.401684,54.455599,48.057039,0.000000
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,85,0, KEY ,1,85,3885966,42.881721,46.024262,48.325428,44.827808,28.436035,96.247449,95.307213,49.726850,43.438138,0.000006
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,110,0, KEY ,1,110,2102617,36.786348,42.816661,45.843692,38.656437,22.155274,94.139903,92.781140,43.182623,38.799565,0.000256
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,135,0, KEY ,1,135,938868,32.180995,40.112977,43.547701,32.342922,17.588613,88.596024,86.532757,36.385998,34.972211,0.001255
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,160,0, KEY ,1,160,436165,28.757229,37.587351,41.463202,26.213590,14.239614,73.665330,71.685582,30.238789,31.964109,0.006478
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,185,0, KEY ,1,185,191613,25.336865,35.072407,39.210161,20.159401,10.632390,49.317151,47.520242,24.381904,28.837373,0.015983
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,60,0, KEY ,1,60,4112368,48.879866,50.760417,51.085581,46.325431,31.488631,96.659638,95.923242,52.804782,48.249221,0.000011
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,85,0, KEY ,1,85,2275276,42.953220,48.355641,48.693517,40.712099,25.344781,95.261274,94.272623,47.876642,44.203260,0.001909
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,110,0, KEY ,1,110,957847,37.852915,46.198196,46.719295,34.573414,19.733605,92.300581,90.666263,41.513528,40.538500,0.201338
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,135,0, KEY ,1,135,351022,34.303514,44.113110,44.816287,28.601126,15.314113,84.258351,82.103600,35.113933,37.666026,1.006858
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,160,0, KEY ,1,160,149186,31.808433,42.379592,42.945430,23.272688,12.273835,66.717981,64.890122,30.209245,35.399745,1.595242
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,185,0, KEY ,1,185,66266,29.231810,40.460370,40.461243,18.207488,9.687123,42.081722,40.757093,26.108029,32.928564,1.539006
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,60,0, KEY ,1,60,1117599,51.250880,55.604203,56.158833,44.018983,29.376954,96.478526,95.346072,50.797638,54.152508,0.015717
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,85,0, KEY ,1,85,561858,47.567058,53.203684,53.852505,38.273014,24.759091,95.278073,93.732993,46.398457,50.041963,0.039950
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,110,0, KEY ,1,110,271569,43.843402,50.917440,51.793666,32.303587,20.386713,91.830896,89.846383,41.482110,46.574578,0.134886
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,135,0, KEY ,1,135,117435,40.194935,48.330920,49.509849,26.188979,16.331942,82.378114,80.358290,36.735745,43.226387,0.541697
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,160,0, KEY ,1,160,47518,37.117806,45.253441,46.602032,20.497506,13.375186,64.909786,63.186932,33.128026,40.222954,0.675055
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,185,0, KEY ,1,185,20414,34.431916,41.707787,43.462498,15.842563,11.238950,46.328925,44.790390,30.218175,37.462440,0.907485
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25,8,60,0, KEY ,1,60,2992317,49.020858,52.832141,53.552655,41.837222,29.558587,97.197999,96.634440,50.241732,50.167486,0.858883
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25,8,85,0, KEY ,1,85,1560952,43.824688,50.485850,51.169455,35.770436,24.569285,96.750799,95.885329,46.507711,46.087245,6.179608
