TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,0, KEY ,1,133,437715,44.757141,50.254131,50.303290,34.222198,23.333899,96.015751,94.814929,47.369762,44.999023,0.008059
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,1, KEY ,1,133,436967,44.760802,50.254660,50.298710,34.281456,23.336128,100.000000,100.000000,47.375687,44.999739,0.006827
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,2, KEY ,1,133,435325,44.769761,50.275578,50.310292,34.298834,23.342861,100.000000,100.000000,47.386172,45.017416,0.006242
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,3, KEY ,1,133,434191,44.773957,50.288526,50.298975,34.247594,23.351039,100.000000,100.000000,47.370804,45.027099,0.008866
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,4, KEY ,1,133,434049,44.772000,50.276342,50.300702,34.267603,23.351942,100.000000,100.000000,47.379905,45.026232,0.007029
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,5, KEY ,1,133,434105,44.775369,50.277277,50.325948,34.252415,23.349748,100.000000,100.000000,47.382079,45.033961,0.007998
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,6, KEY ,1,133,433864,44.792488,50.272665,50.335430,34.310692,23.367120,100.000000,100.000000,47.383367,45.048852,0.010785
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,7, KEY ,1,133,434426,44.780864,50.265111,50.325969,34.326085,23.366271,100.000000,100.000000,47.387302,45.042973,0.008042
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,8, KEY ,1,133,435472,44.792027,50.289038,50.325634,34.293961,23.372813,100.000000,100.000000,47.401733,45.064320,0.007429
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,9, KEY ,1,133,433932,44.784283,50.277477,50.317822,34.308597,23.376155,100.000000,100.000000,47.397067,45.054895,0.007449
