TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,110,20546.231615,42.393627,48.770604,48.750785,29.309231,20.341955,99.975348,99.925422,43.029586,43.287091,42.334120,48.738859,48.719439,0.923220,,,,,,,1955a1848d0d4cb5b4d00c72da922e9f,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,135,7504.086068,41.570033,47.603159,47.497468,27.519162,19.583142,99.811471,97.820965,41.506776,42.432346,41.550767,47.586708,47.479620,1.068829,,,,,,,9f7b11ea308c5c11ced37d4a83d96381,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,160,3010.772612,40.349117,46.117892,45.880871,25.205238,18.530759,95.669231,93.084111,39.273038,41.310665,40.332820,46.101277,45.864038,1.104240,,,,,,,fa24c2ca2b93c02a7817945232253d6d,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,185,1456.193038,38.407899,44.140896,43.860352,22.054119,16.862232,86.967963,84.107589,36.144970,39.708434,38.383508,44.120130,43.841369,1.142549,,,,,,,b23e0a40897b6d51a9e93ab81494c537,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,210,696.577269,35.714405,41.673755,41.476174,18.413321,14.634673,72.373309,69.265762,32.473183,37.546843,35.682412,41.653136,41.456532,1.219895,,,,,,,01293d1d2d2a622bcaacec4fbe01098e,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,235,326.623530,32.619905,39.145597,39.168132,14.733243,12.175013,53.139406,50.136045,28.781504,35.079854,32.585221,39.129196,39.149121,1.287504,,,,,,,526e713d44ea8701d8c812f2fafbe32a,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,110,10254.884808,41.565200,47.128297,47.226485,28.330385,19.873417,99.944294,98.268898,42.112112,42.454989,41.548397,47.115764,47.210989,1.156251,,,,,,,debf70e20c8dbc9d528a9fa22c6bbfbe,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,135,4191.968032,40.699486,46.139824,46.073726,26.359517,19.030286,97.449810,94.868872,40.310372,41.636921,40.686995,46.128226,46.060140,1.130629,,,,,,,45264aa3ba167fcd65731715fb13cc22,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,160,1954.543918,39.206512,44.698303,44.465791,23.594813,17.672381,91.045923,88.185729,37.584800,40.388214,39.187230,44.683883,44.449567,1.218722,,,,,,,7d17688ab7a36ad1d64231b3b357cacc,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,185,956.525321,36.958893,42.765449,42.519702,20.175343,15.720323,79.560585,76.460839,34.177131,38.606169,36.930984,42.746456,42.500263,1.210175,,,,,,,80934572a53537a283eae6b851eee236,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,210,451.833705,34.079390,40.479924,40.375465,16.451442,13.330176,62.325041,59.194700,30.498030,36.395454,34.045556,40.463479,40.359663,1.290939,,,,,,,709641f7e03a03aec4915698f6759274,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,235,206.352417,30.931392,37.949090,38.139608,12.936217,10.932940,41.707013,38.950699,26.932308,33.851018,30.897642,37.938981,38.123477,1.346452,,,,,,,7a5491d278a4bd2fd29fd17d63f43fa4,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,110,6829.227388,40.639539,45.971158,45.839056,27.550347,19.384436,98.066805,95.544489,41.100583,41.754575,40.630201,45.963896,45.828039,1.234846,,,,,,,939eb2821caabc55e758bac229aefbec,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,135,3012.546838,39.718230,45.076196,44.812946,25.369632,18.441670,93.985647,91.193760,39.085466,40.922833,39.705995,45.067092,44.800030,1.306843,,,,,,,f43d6228a789dcd8414b951225559b6e,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,160,1451.161761,38.097222,43.687769,43.317071,22.276438,16.869306,85.901944,82.864223,36.121448,39.588316,38.076424,43.674965,43.302796,1.368274,,,,,,,d290b6d7eaca944c7bfca5ac9d170cc4,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,185,700.782295,35.745182,41.800786,41.501794,18.764201,14.784675,72.258610,69.116826,32.666901,37.754690,35.716274,41.783621,41.484289,1.389839,,,,,,,6160296e008a1b58100f1d7cc4cbb5d8,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,210,324.469377,32.835827,39.638107,39.436649,15.069948,12.368754,53.752492,50.775260,29.070556,35.486245,32.804440,39.624026,39.422579,1.421380,,,,,,,f587d4e102f7af93492f375e4ef21ec8,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,235,146.327519,29.737273,37.201665,37.418210,11.680447,10.044583,33.560067,31.205698,25.669374,32.917102,29.705038,37.194406,37.404893,1.370566,,,,,,,22540d7b04a3ccc7398a7d6bb49252ad,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,110,3949.124107,38.375470,44.534853,43.902668,26.039988,18.096133,90.472397,87.858231,37.570526,40.463492,38.370206,44.529856,43.893356,1.295243,,,,,,,ca5c72f107101f26d6c6715ec78987b9,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,135,1926.860831,37.532570,43.711800,43.015907,23.569844,17.064704,84.599450,81.861267,35.877199,39.615049,37.522064,43.704957,43.005517,1.410238,,,,,,,c7a3f509637c774beffaaf7e742142a4,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,160,938.443710,36.013681,42.371371,41.699668,20.278590,15.412910,73.938116,71.062427,33.332431,38.254282,35.994256,42.361882,41.687324,1.445582,,,,,,,5de5470a9e656c1a47b4b50490ea2355,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,185,448.344271,33.792159,40.570276,40.089801,16.716393,13.329798,58.073729,55.276600,30.288216,36.435037,33.764723,40.555862,40.075389,1.499088,,,,,,,ee164d98766fedc3ad36fb0764968280,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,210,204.231461,31.033858,38.451788,38.300830,13.211729,11.044378,39.383508,36.936847,27.064509,34.147847,31.002048,38.437730,38.283558,1.515547,,,,,,,9e41bee63935a286fd09307dce996541,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,235,89.692461,28.098138,36.397282,36.341966,10.061380,8.891278,21.108335,19.344957,23.991358,31.746189,28.067250,36.384313,36.334684,1.436278,,,,,,,17ad7ec6a8ba028d1fdc8d2f949c9abf,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,110,2864.570506,36.260650,43.479594,42.597265,24.977253,16.498713,79.308692,76.659136,33.806112,39.264912,36.256615,43.475286,42.589144,1.397262,,,,,,,86effb0d6d2ff7de61af5b34aee985be,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,135,1432.117421,35.590476,42.703062,41.856986,22.274335,15.591520,72.616606,69.909572,32.736876,38.471631,35.582723,42.696367,41.847172,1.477823,,,,,,,5b9745650a798f62d1a36c11921a80e5,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,160,694.430493,34.320177,41.406094,40.666677,18.868250,14.131997,61.001674,58.333297,30.936328,37.183125,34.304088,41.394559,40.654794,1.502235,,,,,,,d47572aa7f31c42e719c49d04c62ca59,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,185,331.142089,32.356837,39.726551,39.226536,15.389785,12.256018,45.201690,42.717850,28.509371,35.460255,32.332783,39.711986,39.212924,1.573111,,,,,,,6614678fa736b154a091b36131a11fc1,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,210,149.765312,29.793569,37.748877,37.609684,11.994566,10.150288,27.946796,26.041714,25.707086,33.280642,29.762664,37.735960,37.593720,1.624896,,,,,,,cc2cc362bf5992b977b66767f0cd94f2,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,235,65.875048,26.996382,35.902487,35.888898,9.033797,8.163680,11.962760,10.842951,22.903017,30.861737,26.964152,35.888629,35.876292,1.434903,,,,,,,4f9f7f504a19c1ca9c7803c37005f271,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,110,1692.172443,33.239836,42.014577,41.083458,21.628506,13.863253,53.332075,51.148253,29.251216,37.341760,33.236871,42.010070,41.076617,1.455981,,,,,,,2a69695809f298892c80eaf389ce61c1,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,135,868.522247,32.767461,41.320916,40.464126,19.311189,13.203794,46.553655,44.430565,28.703192,36.657554,32.762094,41.314776,40.456555,1.520034,,,,,,,848cf05277f405e8f299ee7fd00a9953,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,160,422.612464,31.805740,40.162197,39.400223,16.332172,12.098674,36.041625,34.108564,27.644156,35.517533,31.794021,40.153586,39.389861,1.579797,,,,,,,4f0cbaa313ce1db9d9f084a1da5aff3d,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,185,201.483440,30.208143,38.475285,38.076550,13.169368,10.574270,22.903195,21.480455,25.984156,33.886245,30.187909,38.463360,38.063223,1.580672,,,,,,,21c82d83f2f759aee4f47295f2f7c8e8,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,210,90.356413,27.982692,36.786297,36.608535,10.207522,8.835606,10.276132,9.371762,23.803116,31.879073,27.956848,36.777364,36.602082,1.619855,,,,,,,fd7b5c063c87da090ec8d45ebc4d6cf3,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,235,40.449397,25.450561,35.232541,35.135775,7.682775,7.202323,0.536688,0.360780,21.426321,29.539695,25.419814,35.223585,35.126339,1.517155,,,,,,,ed5d1ee2f288680d7bca4b18690f8afc,
