TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,110,0, KEY ,1,110,2677476,37.067034,45.669360,45.344600,37.898318,26.007719,94.449152,92.885873,45.280869,38.945670,0.005262
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,135,0, KEY ,1,135,1429626,31.833956,43.322795,42.854957,31.735288,20.821241,89.129635,86.991422,38.133818,34.864313,0.010209
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,160,0, KEY ,1,160,673100,27.467854,40.930338,40.321678,25.630681,16.130947,75.102512,72.758904,30.554630,31.136132,0.030778
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,185,0, KEY ,1,185,283674,23.669852,38.835974,38.110839,19.505089,11.752941,50.622097,48.578586,23.726894,27.637590,0.056815
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,60,0, KEY ,1,60,1953020,51.560984,52.418389,52.465578,45.162990,29.192744,96.428640,95.530628,49.498132,52.201810,0.489395
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,85,0, KEY ,1,85,754544,47.986311,49.961015,50.094766,38.860642,25.057623,94.682728,93.435175,45.958864,48.761604,1.560163
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,110,0, KEY ,1,110,351407,45.350977,47.715027,48.172326,33.533805,22.105072,90.759720,89.204600,42.847051,46.388011,2.041039
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,135,0, KEY ,1,135,166606,42.373233,45.113415,45.927290,28.185034,18.918309,82.362208,80.360095,39.094005,43.824779,2.471569
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,160,0, KEY ,1,160,74844,39.173295,42.167702,43.383612,22.989593,15.633124,66.508945,64.365260,35.204312,41.038690,3.171329
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,185,0, KEY ,1,185,30779,35.910996,39.008049,40.576835,17.843493,12.483871,44.251959,42.298737,31.508643,38.097249,3.773415
