TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,60,0, KEY ,1,60,5807141,48.795130,50.012799,51.252050,50.428763,34.509897,97.006307,96.365669,54.491488,48.119527,0.000000
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,85,0, KEY ,1,85,3820725,42.844199,46.243597,48.605369,44.612919,28.459222,96.288356,95.289369,49.780452,43.518036,0.000033
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,110,0, KEY ,1,110,2073093,36.844205,43.124889,46.261712,38.564330,22.282656,94.274014,92.809612,43.333357,38.934335,0.000446
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,135,0, KEY ,1,135,918048,32.254598,40.476685,43.933987,32.346476,17.686350,88.502388,86.529684,36.537846,35.118925,0.003196
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,160,0, KEY ,1,160,425926,28.866321,37.892839,41.711654,26.309909,14.362625,73.986405,71.989940,30.411290,32.118630,0.008240
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,185,0, KEY ,1,185,188491,25.498259,35.397637,39.543927,20.365567,10.801094,50.261046,48.456047,24.609910,29.041093,0.021868
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,60,0, KEY ,1,60,4037235,48.818376,50.904708,51.266266,46.004378,31.427432,96.623594,95.872055,52.806288,48.321152,0.000007
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,85,0, KEY ,1,85,2250755,42.987171,48.586196,48.927560,40.693839,25.435023,95.217573,94.204399,47.937238,44.310475,0.003144
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,110,0, KEY ,1,110,959024,37.967244,46.442834,46.966219,34.671720,19.902115,92.253688,90.665150,41.683591,40.664079,0.195944
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,135,0, KEY ,1,135,349373,34.396332,44.413565,44.977719,28.675667,15.450931,84.496588,82.400287,35.306885,37.783946,1.052606
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,160,0, KEY ,1,160,147727,31.917457,42.713646,43.092293,23.426623,12.382537,67.621515,65.701923,30.383586,35.546410,1.887058
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,185,0, KEY ,1,185,65217,29.365813,40.989152,41.060787,18.314150,9.800341,43.705822,42.244355,26.295203,33.159810,1.838318
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,60,0, KEY ,1,60,1099619,51.384048,55.820909,56.395553,44.058345,29.471749,96.494499,95.425322,50.888613,54.392355,0.016033
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,85,0, KEY ,1,85,550440,47.672479,53.397688,54.108288,38.248732,24.865976,95.328847,93.827164,46.512827,50.199225,0.047804
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,110,0, KEY ,1,110,268506,43.996919,51.145879,52.113905,32.391587,20.579376,92.057422,90.066220,41.685116,46.752509,0.181040
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,135,0, KEY ,1,135,114826,40.327585,48.743363,49.917060,26.346698,16.480343,82.940168,80.816598,36.915639,43.399875,0.570672
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,160,0, KEY ,1,160,46159,37.240591,45.958680,47.255316,20.635346,13.456770,66.124949,64.278833,33.272483,40.394729,0.820048
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25,8,185,0, KEY ,1,185,20007,34.595592,42.816319,43.933950,15.950097,11.319135,47.420732,45.996379,30.394280,37.750419,1.284063
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25,8,60,0, KEY ,1,60,2897230,49.058476,53.050231,53.820100,41.689594,29.611515,97.222422,96.630587,50.290432,50.336403,0.854863
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25,8,85,0, KEY ,1,85,1506955,43.909773,50.799502,51.514031,35.831466,24.722933,96.897928,95.911548,46.622042,46.259784,6.052290
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25,8,110,0, KEY ,1,110,783269,39.995841,48.679197,49.458852,31.946467,22.259097,95.484665,94.068479,43.756787,43.378402,11.129694
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25,8,135,0, KEY ,1,135,402852,36.334539,46.576776,47.515096,29.361354,20.611767,91.476946,89.506077,40.425139,40.849864,10.987332
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25,8,160,0, KEY ,1,160,193725,32.565918,44.214389,45.159496,26.197059,18.441008,82.663933,79.974736,35.646928,38.133544,10.813137
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25,8,185,0, KEY ,1,185,84092,28.786896,41.569050,42.646965,21.816879,15.316093,67.018892,63.942904,29.861596,35.170435,8.138960
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,60,0, KEY ,1,60,6248147,48.673663,51.126340,51.004232,49.718669,37.887799,97.080474,96.401124,55.418197,47.393538,0.001806
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,85,0, KEY ,1,85,4313426,42.787059,48.176084,48.026372,43.765308,31.790432,96.407033,95.317768,51.034312,43.134641,0.003908
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,110,0, KEY ,1,110,2694099,37.037914,45.738104,45.409869,37.808313,26.020067,94.572612,92.897374,45.257796,38.946067,0.005905
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,135,0, KEY ,1,135,1425648,31.823880,43.300493,42.849216,31.767056,20.860450,88.941195,86.893602,38.109838,34.851747,0.009522
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,160,0, KEY ,1,160,672118,27.470714,40.885936,40.266103,25.569215,16.152226,75.148852,72.824536,30.561762,31.124399,0.036166
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25,8,185,0, KEY ,1,185,283325,23.689959,38.568753,37.932009,19.555270,11.780966,50.712678,48.651398,23.747974,27.617628,0.050232
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,60,0, KEY ,1,60,1951383,51.530185,52.370853,52.427663,45.129127,29.160541,96.423868,95.527070,49.468024,52.146324,0.493169
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,85,0, KEY ,1,85,757228,48.001480,49.949779,50.095698,38.864627,25.081363,94.769337,93.477116,45.976761,48.763416,1.576641
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,110,0, KEY ,1,110,348868,45.355960,47.699578,48.179544,33.508183,22.100254,90.926513,89.261490,42.839412,46.383072,2.091029
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,135,0, KEY ,1,135,163687,42.390018,45.186104,46.032164,28.237332,18.934471,82.455878,80.396895,39.122974,43.883007,2.478594
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,160,0, KEY ,1,160,73824,39.206978,42.389020,43.630867,22.949843,15.667463,66.519509,64.489911,35.272186,41.161569,3.283576
STILL,aom,av2,0,F1,church.y4m,6000x4000,25,8,185,0, KEY ,1,185,30501,35.949853,39.326265,40.939644,17.878150,12.504686,44.658661,42.716384,31.589848,38.299592,3.931641
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25,8,60,0, KEY ,1,60,4329904,49.003071,55.111298,53.435804,41.704900,30.101594,96.446957,95.779536,53.165668,52.165847,0.000010
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25,8,85,0, KEY ,1,85,2597273,43.059899,53.000816,51.830878,35.950046,24.026182,94.980425,94.010697,48.228246,47.718026,0.000124
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25,8,110,0, KEY ,1,110,1067333,37.146808,50.612467,50.047933,29.849701,17.574707,91.612964,90.244054,41.071204,42.935751,0.001394
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25,8,135,0, KEY ,1,135,229596,33.147655,47.912404,47.695173,23.477462,11.631447,83.298575,81.713400,34.075857,39.217388,0.225622
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25,8,160,0, KEY ,1,160,48875,31.535398,44.788216,44.928252,17.288787,8.693622,67.698124,66.356033,30.415387,37.474335,9.721196
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25,8,185,0, KEY ,1,185,21208,30.703750,41.899468,41.700122,14.771923,8.082882,53.033407,51.977769,28.841532,36.323449,14.706250
STILL,aom,av2,0,F1,flowerfield.y4m,3696x2448,25,8,60,0, KEY ,1,60,1284354,51.563387,51.554942,51.961636,48.373301,32.392511,96.858206,96.089322,52.894031,53.622074,0.002610
STILL,aom,av2,0,F1,flowerfield.y4m,3696x2448,25,8,85,0, KEY ,1,85,678686,47.547922,47.260292,47.858409,42.165457,27.640387,95.759083,94.628019,47.869190,48.945601,0.005120
STILL,aom,av2,0,F1,flowerfield.y4m,3696x2448,25,8,110,0, KEY ,1,110,352217,43.954693,43.481623,44.373650,36.364482,23.965492,93.072398,91.402867,42.807836,45.421684,0.006679
